# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-23 10:27:11 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07017610 Big River below Bonne Terre, MO
# -----------------------------------------------------------------------------------
#
# Data provided for site 07017610
#            TS   parameter     statistic     Description
#         76050       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	76050_00060_00003	76050_00060_00003_cd
USGS	07017610	2016-04-02	465	A
USGS	07017610	2016-04-03	351	A
USGS	07017610	2016-04-04	293	A
USGS	07017610	2016-04-05	252	A
USGS	07017610	2016-04-06	236	A
USGS	07017610	2016-04-07	282	A
USGS	07017610	2016-04-08	266	A
USGS	07017610	2016-04-09	233	A
USGS	07017610	2016-04-10	214	A
USGS	07017610	2016-04-11	1190	A
USGS	07017610	2016-04-12	1710	A
USGS	07017610	2016-04-13	874	A
USGS	07017610	2016-04-14	606	A
USGS	07017610	2016-04-15	475	A
USGS	07017610	2016-04-16	391	A
USGS	07017610	2016-04-17	332	A
USGS	07017610	2016-04-18	290	A
USGS	07017610	2016-04-19	258	A
USGS	07017610	2016-04-20	249	A
USGS	07017610	2016-04-21	329	A
USGS	07017610	2016-04-22	313	A
USGS	07017610	2016-04-23	263	A
USGS	07017610	2016-04-24	225	A
USGS	07017610	2016-04-25	203	A
USGS	07017610	2016-04-26	217	A
USGS	07017610	2016-04-27	269	A
USGS	07017610	2016-04-28	236	A
USGS	07017610	2016-04-29	197	A
USGS	07017610	2016-04-30	203	A
USGS	07017610	2016-05-01	261	A
USGS	07017610	2016-05-02	301	A
USGS	07017610	2016-05-03	252	A
USGS	07017610	2016-05-04	210	A
USGS	07017610	2016-05-05	183	A
USGS	07017610	2016-05-06	165	A
USGS	07017610	2016-05-07	152	A
USGS	07017610	2016-05-08	140	A
USGS	07017610	2016-05-09	135	A
USGS	07017610	2016-05-10	222	A
USGS	07017610	2016-05-11	1290	A
USGS	07017610	2016-05-12	12100	A
USGS	07017610	2016-05-13	4380	A
USGS	07017610	2016-05-14	1330	A
USGS	07017610	2016-05-15	813	A
USGS	07017610	2016-05-16	606	A
USGS	07017610	2016-05-17	2530	A
USGS	07017610	2016-05-18	5720	A
USGS	07017610	2016-05-19	1710	A
USGS	07017610	2016-05-20	1040	A
USGS	07017610	2016-05-21	800	A
USGS	07017610	2016-05-22	627	A
USGS	07017610	2016-05-23	501	A
USGS	07017610	2016-05-24	1050	A
USGS	07017610	2016-05-25	3590	A
USGS	07017610	2016-05-26	1200	A
USGS	07017610	2016-05-27	4810	A
USGS	07017610	2016-05-28	5230	A
USGS	07017610	2016-05-29	1750	A
USGS	07017610	2016-05-30	1070	A
USGS	07017610	2016-05-31	818	A
USGS	07017610	2016-06-01	821	A
USGS	07017610	2016-06-02	1220	A
USGS	07017610	2016-06-03	896	A
USGS	07017610	2016-06-04	930	A
USGS	07017610	2016-06-05	1150	A
USGS	07017610	2016-06-06	723	A
USGS	07017610	2016-06-07	525	A
USGS	07017610	2016-06-08	410	A
USGS	07017610	2016-06-09	332	A
USGS	07017610	2016-06-10	281	A
USGS	07017610	2016-06-11	243	A
USGS	07017610	2016-06-12	213	A
USGS	07017610	2016-06-13	193	A
USGS	07017610	2016-06-14	174	A
USGS	07017610	2016-06-15	161	A
USGS	07017610	2016-06-16	148	A
USGS	07017610	2016-06-17	135	A
USGS	07017610	2016-06-18	124	A
USGS	07017610	2016-06-19	114	A
USGS	07017610	2016-06-20	108	A
USGS	07017610	2016-06-21	105	A
USGS	07017610	2016-06-22	102	A
USGS	07017610	2016-06-23	94	A
USGS	07017610	2016-06-24	88	A
USGS	07017610	2016-06-25	90	A
USGS	07017610	2016-06-26	111	A
USGS	07017610	2016-06-27	125	A
USGS	07017610	2016-06-28	99	A
USGS	07017610	2016-06-29	87	A
USGS	07017610	2016-06-30	86	A
USGS	07017610	2016-07-01	82	A
USGS	07017610	2016-07-02	108	A
USGS	07017610	2016-07-03	156	A
USGS	07017610	2016-07-04	442	A
USGS	07017610	2016-07-05	494	A
USGS	07017610	2016-07-06	1040	A
USGS	07017610	2016-07-07	748	A
USGS	07017610	2016-07-08	914	A
USGS	07017610	2016-07-09	536	A
USGS	07017610	2016-07-10	329	A
USGS	07017610	2016-07-11	235	A
USGS	07017610	2016-07-12	186	A
USGS	07017610	2016-07-13	158	A
USGS	07017610	2016-07-14	159	A
USGS	07017610	2016-07-15	165	A
USGS	07017610	2016-07-16	142	A
USGS	07017610	2016-07-17	120	A
USGS	07017610	2016-07-18	108	A
USGS	07017610	2016-07-19	100	A
USGS	07017610	2016-07-20	92	A
USGS	07017610	2016-07-21	88	A
USGS	07017610	2016-07-22	84	A
USGS	07017610	2016-07-23	76	A
USGS	07017610	2016-07-24	76	A
USGS	07017610	2016-07-25	77	A
USGS	07017610	2016-07-26	97	A
USGS	07017610	2016-07-27	188	A
USGS	07017610	2016-07-28	611	A
USGS	07017610	2016-07-29	291	A
USGS	07017610	2016-07-30	177	A
USGS	07017610	2016-07-31	142	A
USGS	07017610	2016-08-01	159	A
USGS	07017610	2016-08-02	174	A
USGS	07017610	2016-08-03	170	A
USGS	07017610	2016-08-04	166	A
USGS	07017610	2016-08-05	136	A
USGS	07017610	2016-08-06	118	A
USGS	07017610	2016-08-07	110	A
USGS	07017610	2016-08-08	98	A
USGS	07017610	2016-08-09	89	A
USGS	07017610	2016-08-10	81	A
USGS	07017610	2016-08-11	74	A
USGS	07017610	2016-08-12	71	A
USGS	07017610	2016-08-13	70	A
USGS	07017610	2016-08-14	201	A
USGS	07017610	2016-08-15	16000	A
USGS	07017610	2016-08-16	10300	A
USGS	07017610	2016-08-17	1520	A
USGS	07017610	2016-08-18	948	A
USGS	07017610	2016-08-19	692	A
USGS	07017610	2016-08-20	527	A
USGS	07017610	2016-08-21	406	A
USGS	07017610	2016-08-22	322	A
USGS	07017610	2016-08-23	269	A
USGS	07017610	2016-08-24	240	A
USGS	07017610	2016-08-25	215	A
USGS	07017610	2016-08-26	193	A
USGS	07017610	2016-08-27	173	A
USGS	07017610	2016-08-28	157	A
USGS	07017610	2016-08-29	145	A
USGS	07017610	2016-08-30	142	A
USGS	07017610	2016-08-31	193	A
USGS	07017610	2016-09-01	130	A
USGS	07017610	2016-09-02	115	A
USGS	07017610	2016-09-03	108	A
USGS	07017610	2016-09-04	102	A
USGS	07017610	2016-09-05	98	A
USGS	07017610	2016-09-06	95	A
USGS	07017610	2016-09-07	90	A
USGS	07017610	2016-09-08	97	A
USGS	07017610	2016-09-09	134	A
USGS	07017610	2016-09-10	259	A
USGS	07017610	2016-09-11	123	A
USGS	07017610	2016-09-12	104	A
USGS	07017610	2016-09-13	93	A
USGS	07017610	2016-09-14	91	A
USGS	07017610	2016-09-15	97	A
USGS	07017610	2016-09-16	316	A
USGS	07017610	2016-09-17	4350	A
USGS	07017610	2016-09-18	1180	A
USGS	07017610	2016-09-19	587	A
USGS	07017610	2016-09-20	393	A
USGS	07017610	2016-09-21	292	A
USGS	07017610	2016-09-22	236	A
USGS	07017610	2016-09-23	201	A
USGS	07017610	2016-09-24	177	A
USGS	07017610	2016-09-25	157	A
USGS	07017610	2016-09-26	154	A
USGS	07017610	2016-09-27	140	A
USGS	07017610	2016-09-28	130	A
USGS	07017610	2016-09-29	119	A
USGS	07017610	2016-09-30	114	A
USGS	07017610	2016-10-01	111	A
USGS	07017610	2016-10-02	107	A
USGS	07017610	2016-10-03	104	A
USGS	07017610	2016-10-04	101	A
USGS	07017610	2016-10-05	98	A
USGS	07017610	2016-10-06	94	A
USGS	07017610	2016-10-07	90	A
USGS	07017610	2016-10-08	85	A
USGS	07017610	2016-10-09	82	A
USGS	07017610	2016-10-10	80	A
USGS	07017610	2016-10-11	78	A
USGS	07017610	2016-10-12	79	A
USGS	07017610	2016-10-13	79	A
USGS	07017610	2016-10-14	78	A
USGS	07017610	2016-10-15	81	A
USGS	07017610	2016-10-16	83	A
USGS	07017610	2016-10-17	81	A
USGS	07017610	2016-10-18	79	A
USGS	07017610	2016-10-19	78	A
USGS	07017610	2016-10-20	574	A
USGS	07017610	2016-10-21	910	A
USGS	07017610	2016-10-22	374	A
USGS	07017610	2016-10-23	246	A
USGS	07017610	2016-10-24	190	A
USGS	07017610	2016-10-25	160	A
USGS	07017610	2016-10-26	145	A
USGS	07017610	2016-10-27	135	A
USGS	07017610	2016-10-28	127	A
USGS	07017610	2016-10-29	120	A
USGS	07017610	2016-10-30	113	A
USGS	07017610	2016-10-31	109	A
USGS	07017610	2016-11-01	105	A
USGS	07017610	2016-11-02	101	A
USGS	07017610	2016-11-03	109	A
USGS	07017610	2016-11-04	104	A
USGS	07017610	2016-11-05	98	A
USGS	07017610	2016-11-06	93	A
USGS	07017610	2016-11-07	91	A
USGS	07017610	2016-11-08	90	A
USGS	07017610	2016-11-09	88	A
USGS	07017610	2016-11-10	86	A
USGS	07017610	2016-11-11	84	A
USGS	07017610	2016-11-12	82	A
USGS	07017610	2016-11-13	80	A
USGS	07017610	2016-11-14	81	A
USGS	07017610	2016-11-15	81	A
USGS	07017610	2016-11-16	80	A
USGS	07017610	2016-11-17	81	A
USGS	07017610	2016-11-18	84	A
USGS	07017610	2016-11-19	95	A
USGS	07017610	2016-11-20	90	A
USGS	07017610	2016-11-21	88	A
USGS	07017610	2016-11-22	86	A
USGS	07017610	2016-11-23	87	A
USGS	07017610	2016-11-24	85	A
USGS	07017610	2016-11-25	85	A
USGS	07017610	2016-11-26	82	A
USGS	07017610	2016-11-27	83	A
USGS	07017610	2016-11-28	94	A
USGS	07017610	2016-11-29	156	A
USGS	07017610	2016-11-30	128	A
USGS	07017610	2016-12-01	125	A
USGS	07017610	2016-12-02	114	A
USGS	07017610	2016-12-03	106	A
USGS	07017610	2016-12-04	105	A
USGS	07017610	2016-12-05	110	P
USGS	07017610	2016-12-06	110	P
USGS	07017610	2016-12-07	105	P
USGS	07017610	2016-12-08	99	P
USGS	07017610	2016-12-09	94	P
USGS	07017610	2016-12-10	90	P
USGS	07017610	2016-12-11	91	P
USGS	07017610	2016-12-12	90	P
USGS	07017610	2016-12-13	89	P
USGS	07017610	2016-12-14	87	P
USGS	07017610	2016-12-15	84	P
USGS	07017610	2016-12-16	83	P
USGS	07017610	2016-12-17	86	P
USGS	07017610	2016-12-18	82	P
USGS	07017610	2016-12-19	98	P
USGS	07017610	2016-12-20	88	P
USGS	07017610	2016-12-21	80	P
USGS	07017610	2016-12-22	80	P
USGS	07017610	2016-12-23	82	P
USGS	07017610	2016-12-24	90	P
USGS	07017610	2016-12-25	94	P
USGS	07017610	2016-12-26	99	P
USGS	07017610	2016-12-27	101	P
USGS	07017610	2016-12-28	96	P
USGS	07017610	2016-12-29	93	P
USGS	07017610	2016-12-30	91	P
USGS	07017610	2016-12-31	88	P
USGS	07017610	2017-01-01	87	P
USGS	07017610	2017-01-02	85	P
USGS	07017610	2017-01-03	86	P
USGS	07017610	2017-01-04	85	P
USGS	07017610	2017-01-05	89	P
USGS	07017610	2017-01-06	84	P
USGS	07017610	2017-01-07	99	P
USGS	07017610	2017-01-08	90	P
USGS	07017610	2017-01-09	81	P
USGS	07017610	2017-01-10	82	P
USGS	07017610	2017-01-11	86	P
USGS	07017610	2017-01-12	86	P
USGS	07017610	2017-01-13		
USGS	07017610	2017-01-14		
USGS	07017610	2017-01-15	174	P
USGS	07017610	2017-01-16	437	P
USGS	07017610	2017-01-17	947	P
USGS	07017610	2017-01-18	705	P
USGS	07017610	2017-01-19	490	P
USGS	07017610	2017-01-20	1280	P
USGS	07017610	2017-01-21	921	P
USGS	07017610	2017-01-22	605	P
